prodcode,dmdcode,productname
798,3.44111E+14,Adcal-D3 chewable tablets tutti frutti (Kyowa Kirin Ltd)
1240,9.5875E+16,Calcium gluconate with ergocalciferol tablets
1413,1.20885E+17,VITAMIN D PLUS CALCIUM TAB
2112,4.1925E+16,Calcichew-d3 Chewable tablet (Shire Pharmaceuticals Ltd)
2194,5.65411E+14,Calcium and Ergocalciferol tablets (Approved Prescription Services Ltd)
2669,4.42811E+14,Calcichew D3 chewable tablets (Takeda UK Ltd)
2691,3.70823E+16,Calcium and Ergocalciferol tablets
3484,9.1615E+16,CALCIUM 500MGS & VITAMIN D 200IU I/U TAB
3717,3.25131E+15,Cacit D3 effervescent granules sachets (Theramex HQ UK Ltd)
3760,1.91075E+17,CALCIUM 500MGS & VITAMIN D 400IU TAB
4753,329365001,Colecalciferol 200unit / Calcium carbonate 1.25g chewable tablets
5754,9.8795E+16,Ergocalciferol with calcium tablets
6264,329367009,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets
6577,329371007,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets
6843,4.25301E+15,Colecalciferol 800unit / Calcium phosphate 3.1g oral powder sachets
7320,4.24871E+15,Calfovit D3 oral powder sachets (A. Menarini Farmaceutica Internazionale SRL)
7749,1.71065E+17,CALCIUM + VITAMIN D 300 MG TAB
8115,1.55205E+17,CALCIUM & VITAMIN D 6000 I/U TAB
9885,329369007,Colecalciferol 440unit / Calcium carbonate 1.25g effervescent granules sachets
11473,2.35555E+17,Dolomite with Vitamin D tablets
12372,9.2585E+16,CALCIFEROL/CALCIUM GLUCONATE TAB
12791,1.59824E+16,Calceos 500mg/400unit chewable tablets (Galen Ltd)
12883,2.03655E+17,Osteopro Tablet (Health Perception (UK) Ltd)
15209,4.91791E+15,Crampex tablets (Thornton & Ross Ltd)
19410,2.21095E+17,Caltrate plus Tablet (Wyeth Consumer Healthcare)
19946,7.95931E+15,Caltrate Plus chewable tablets (Wyeth Consumer Healthcare)
23296,2.42775E+17,Calcium carbonate 1.25g with Colecalciferol 10micrograms sugar free chewable tablets
24567,1.22032E+16,Dolomite + D tablets (Health+Plus Ltd)
26677,NA,CALCIUM + VITAMIN D
28922,4.5595E+16,Calcium with vitamin d Tablet (Approved Prescription Services Ltd)
32103,3.2575E+16,Calcium with ergocalciferol Tablet (Thornton & Ross Ltd)
32527,2.34095E+17,Caltrate with vitamin d 600mg+5microgram Tablet (Wyeth Consumer Healthcare)
34624,5.80311E+14,Calcium and Ergocalciferol tablets (Actavis UK Ltd)
34656,2.09485E+17,Calcium carbonate 600mg with vitamin d and 5 micrograms tablets
36251,9.5985E+16,Chocovite Tablet (Torbet Laboratories Ltd)
36921,9.79431E+15,Calcium and Ergocalciferol tablets (Almus Pharmaceuticals Ltd)
36979,1.33986E+16,Adcal-D3 Dissolve 1500mg/400unit effervescent tablets (Kyowa Kirin Ltd)
36981,1.34011E+16,Colecalciferol 400unit / Calcium carbonate 1.5g effervescent tablets
37412,1.27765E+16,Natecal D3 600mg/400unit chewable tablets (Chiesi Ltd)
37575,2.49915E+17,Risedronate sodium 35mg with calcium carbonate 2500mg & colecalciferol 22micrograms tablets and granules
37794,2.34605E+17,Calcium carbonate 600mg with vitamin d and minerals 5 micrograms tablets
38928,4.5611E+13,Calcichew D3 Forte chewable tablets (Takeda UK Ltd)
40268,2.57225E+17,Calcium lactate gluconate with calcium carbonate and colecalciferol 600mg calcium with 400iu effervescent tablets
40276,1.52193E+16,Sandocal+D 600 effervescent tablets (Novartis Consumer Health UK Ltd)
40931,1.56416E+16,Sandocal+D 1200 effervescent tablets (Novartis Consumer Health UK Ltd)
41072,2.58035E+17,Calcium lactate gluconate with calcium carbonate and colecalciferol 1200mg calcium with 800iu effervescent tablets
41427,1.19304E+16,Adcal-D3 Lemon chewable tablets (Kyowa Kirin Ltd)
42190,2.16255E+17,Nicotinic acid with colecalciferol and calcium gluconate Tablet
42209,3.03711E+14,Calcium and Ergocalciferol tablets (A A H Pharmaceuticals Ltd)
43053,8.5925E+16,Calcium Tablet (Actavis UK Ltd)
43922,1.75458E+16,Calcichew D3 500mg/400unit caplets (Takeda UK Ltd)
44016,1.75551E+16,Colecalciferol 400unit / Calcium carbonate 1.25g tablets
45311,2.34615E+17,Calcium carbonate 600mg with Vitamin D % micrograms with Minerals chewable tablets
