readcode,medcode,readterm,,,,,,,,,
7K1LM00,5951,closed reduction of fracture of wrist,,,,,,,,,
S23..11,10640,forearm fracture,,,,,,,,,
S230000,33933,"closed fracture of proximal forearm, unspecified part",,,,,,,,,
S230z00,42957,closed fracture of proximal forearm not otherwise specified,,,,,,,,,
S231000,50223,"open fracture of proximal forearm, unspecified",,,,,,,,,
S231z00,55201,"open fracture of forearm, upper end, nos",,,,,,,,,
S234.11,203,wrist fracture - closed,,,,,,,,,
S234000,18389,"closed fracture of forearm, lower end, unspecified",,,,,,,,,
S234100,343,closed colles' fracture,,,,,,,,,
S234111,52389,smith's fracture - closed,,,,,,,,,
S234200,1742,"closed fracture of the distal radius, unspecified",,,,,,,,,
S234300,9165,"closed fracture of ulna, styloid process",,,,,,,,,
S234400,42076,"closed fracture of ulna, lower epiphysis",,,,,,,,,
S234500,40476,"closed fracture distal ulna, unspecified",,,,,,,,,
S234700,2862,closed smith's fracture,,,,,,,,,
S234900,11066,closed volar barton's fracture,,,,,,,,,
S234911,53689,closed volar barton's fracture-dislocation,,,,,,,,,
S234912,65636,closed volar barton fracture-subluxation,,,,,,,,,
S234A00,50053,closd dorsal barton's fracture,,,,,,,,,
S234A11,57736,closed dorsal barton's fracture-dislocation,,,,,,,,,
S234A12,107741,closed dorsal barton fracture-subluxation,,,,,,,,,
S234B00,6915,closed fracture radial styloid,,,,,,,,,
S234C00,44844,"closed fracture distal radius, intra-articular, die-punch",,,,,,,,,
S234D00,19058,"closed fracture distal radius, extra-articular, other type",,,,,,,,,
S234E00,28293,"closed fracture distal radius, intra-articular, other type",,,,,,,,,
S234F00,10033,closed barton's fracture,,,,,,,,,
S234G00,102302,greenstick fracture of distal radius,,,,,,,,,
S234z00,27591,"closed fracture of forearm, lower end, nos",,,,,,,,,
S235.11,10022,wrist fracture - open,,,,,,,,,
S235000,60630,"open fracture of forearm, lower end, unspecified",,,,,,,,,
S235100,6074,open colles' fracture,,,,,,,,,
S235111,98681,smith's fracture - open,,,,,,,,,
S235200,44924,"open fracture of the distal radius, unspecified",,,,,,,,,
S235300,11262,"open fracture of ulna, styloid process",,,,,,,,,
S235400,96691,"open fracture of ulna, lower epiphysis",,,,,,,,,
S235500,49796,open fracture distal ulna - other,,,,,,,,,
S235700,34730,open smith's fracture,,,,,,,,,
S235900,61675,open volar barton's fracture,,,,,,,,,
S235A00,111858,open dorsal barton's fracture,,,,,,,,,
S235B00,6380,open fracture radial styloid,,,,,,,,,
S235C00,104070,"open fracture distal radius, intra-articular, die-punch",,,,,,,,,
S235D00,53698,"open fracture distal radius, extra-articular other type",,,,,,,,,
S235E00,63588,"open fracture distal radius, intra-articular other type",,,,,,,,,
S235F00,18301,open barton's fracture,,,,,,,,,
S235z00,66774,"open fracture of forearm, lower end, nos",,,,,,,,,
S23B.00,199,fracture of lower end of radius,,,,,,,,,
